職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
Data Scientist/資料科學家,https://www.104.com.tw/job/7xzhz?jobsource=jolist_b_relevance,大森整合行銷股份有限公司,台北市內湖區,"月薪50,000元以上"
數據產品經理,https://www.104.com.tw/job/6zwg5?jobsource=jolist_a_relevance,聚典資訊股份有限公司,台北市南港區,"月薪45,000元以上"
『不動產仲介首選完整培訓』大數據輔助房屋銷售 = 科技房仲！#大數據分析人才轉職 # 不動產業務/營業員/經紀人,https://www.104.com.tw/job/7x9um?jobsource=jolist_a_relevance,台灣房屋板橋江翠特許加盟店_成居開發有限公司,新北市板橋區,"論件計酬10,000~2,000,000元"
數位金融處-資料工程專業人員,https://www.104.com.tw/job/7q4nl?jobsource=jolist_a_relevance,永豐商業銀行股份有限公司,台北市中山區,待遇面議
資材專案管理師_12217,https://www.104.com.tw/job/7xu9b?jobsource=jolist_a_relevance,和碩集團_和碩聯合科技股份有限公司,台北市北投區,"月薪30,000~51,000元"
台北_經營管理專員,https://www.104.com.tw/job/6begn?jobsource=jolist_a_relevance,中華紙漿股份有限公司,台北市中正區,"月薪33,000~55,000元"
【工業4.0】智慧系統程式開發工程師 (S1),https://www.104.com.tw/job/6zvwr?jobsource=jolist_a_relevance,欣興電子股份有限公司,桃園市龜山區,"月薪32,000~70,000元"
大數據中心-程式開發工程師,https://www.104.com.tw/job/7d74q?jobsource=jolist_a_relevance,信東生技股份有限公司,台北市中正區,待遇面議
APP產品管理師,https://www.104.com.tw/job/76wmo?jobsource=jolist_a_relevance,典通股份有限公司,台北市中正區,待遇面議
技術部-Data Engineer,https://www.104.com.tw/job/7ynrk?jobsource=jolist_a_relevance,PChome Online_網路家庭國際資訊(股)公司,台北市大安區,待遇面議
[Data Sci] Sr. Data Product Manager,https://www.104.com.tw/job/73xe9?jobsource=jolist_a_relevance,威朋大數據股份有限公司,台北市松山區,待遇面議
Data Scientist/資料科學家,https://www.104.com.tw/job/76eob?jobsource=jolist_a_relevance,蜂群電子商務股份有限公司,台北市內湖區,"月薪50,000元以上"
"數據工程師 Data Engineer -數據科技(數數發中心, DDT)",https://www.104.com.tw/job/6emjz?jobsource=jolist_a_relevance,國泰金控_國泰金融控股股份有限公司,台北市信義區,待遇面議
數據工程師,https://www.104.com.tw/job/7kcv1?jobsource=jolist_a_relevance,住華科技股份有限公司,台南市善化區,"月薪55,000~69,000元"
軟體工程師【新竹】,https://www.104.com.tw/job/66xyc?jobsource=jolist_a_relevance,竹陞科技股份有限公司,新竹縣竹北市,待遇面議
【高雄總部】eHRD事業群_研發處_後端工程師(JAVA),https://www.104.com.tw/job/7le5v?jobsource=jolist_a_relevance,旭聯科技股份有限公司,高雄市新興區,"月薪32,000~42,000元"
A5-應用發展經理(BD/銷售業務),https://www.104.com.tw/job/7ih4l?jobsource=jolist_a_relevance,意藍資訊股份有限公司,台北市大安區,待遇面議
電商事業部 - Amazon電商營運專員 ( 宜蘭科學園區）,https://www.104.com.tw/job/75x3n?jobsource=jolist_a_relevance,立達國際電子股份有限公司,宜蘭縣宜蘭市,"月薪35,000~65,000元"
【財務金融】信用風險管理專業人員,https://www.104.com.tw/job/77ptr?jobsource=jolist_a_relevance,國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議
財會課長,https://www.104.com.tw/job/7f8f5?jobsource=jolist_a_relevance,勤眾興業股份有限公司,桃園市龜山區,待遇面議
"資料科學工程師 (Data Engineer) -- 資料科學實驗室 (數數發中心, DDT)",https://www.104.com.tw/job/6w7ov?jobsource=jolist_a_relevance,國泰金控_國泰金融控股股份有限公司,台北市信義區,待遇面議
雲端軟體工程師,https://www.104.com.tw/job/6sf6f?jobsource=jolist_a_relevance,智易科技股份有限公司,新竹市,待遇面議
